AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.19	30	0	0.008333	25	25	2018/04/30	IP
TJKV06M.22	30	0	0.008333	22.1	22.1	2018/04/30	IP
TJKV06M.23	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.24	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.28	30	0	0.008333	28.4	28.4	2018/04/30	IP
TJKV06M.29	30	0	0.008333	21.5	21.5	2018/04/30	IP
TJKV06M.03	30	0	0.008333	25.5	25.5	2018/04/30	IP
TJKV06M.34	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.42	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.43	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.41	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.45	30	0.154849124215589	0.154849124215589	27.4	27.4	2018/04/30	IP
TJKV06M.20	30	0	0.008333	29.6	29.6	2018/04/30	IP
TJKV06M.06	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.07	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.11	30	0	0.008333	27.1	27.1	2018/04/30	IP
TJKV06M.13	30	0	0.008333	27	27	2018/04/30	IP
TJKV06M.15	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.18	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.02	30	0	0.008333	33.3	147	2018/04/30	IP
TJKV06M.26	30	0.202672101488939	0.202672101488939	21.9	21.9	2018/04/30	IP
TJKV06M.32	30	2.24583267833541	2.24583267833541	7.2	7.2	2018/04/30	IP
TJKV06M.35	30	0.449849662640063	0.449849662640063	20	20	2018/04/30	IP
TJKV06M.36	30	0.902058750559305	0.902058750559305	33.3	147	2018/04/30	IP
TJKV06M.37	30	1.83202209627796	1.83202209627796	20.3	20.3	2018/04/30	IP
TJKV06M.38	30	0.413931531148719	0.413931531148719	29.5	29.5	2018/04/30	IP
TJKV06M.47	30	2.02685691660653	2.02685691660653	23.3	23.3	2018/04/30	IP
TJKV06M.48	30	1.07204202260182	1.07204202260182	33.3	147	2018/04/30	IP
TJKV06M.10	30	0.647077696327451	0.647077696327451	28.1	28.1	2018/04/30	IP
TJKV06M.08	30	1.10235063410184	1.10235063410184	33.3	147	2018/04/30	IP
