AnimalID	BW	BG	Date
TJKV06M.30	30.7	10.3	2018/05/09
TJKV06M.04	28.5	9.2	2018/05/09
TJKV06M.05	32	9.8	2018/05/09
TJKV06M.01	26.8	10.6	2018/05/09
TJKV06M.19	28.6	6.8	2018/05/09
TJKV06M.22	31.1	8.8	2018/05/09
TJKV06M.23	32.2	8.4	2018/05/09
TJKV06M.24	26.6	6.7	2018/05/09
TJKV06M.25	22.2	7.4	2018/05/09
TJKV06M.27	20.9	7.2	2018/05/09
TJKV06M.31	19.9	5.2	2018/05/09
TJKV06M.33	26.6	9.7	2018/05/09
TJKV06M.40	22.7	5.8	2018/05/09
TJKV06M.44	25.2	7.4	2018/05/09
TJKV06M.46	25.9	5.9	2018/05/09
TJKV06M.20	25.2	9.1	2018/05/09
TJKV06M.06	25.3	8.3	2018/05/09
TJKV06M.07	30.2	8.8	2018/05/09
TJKV06M.11	25.8	6.4	2018/05/09
TJKV06M.13	27.9	8.7	2018/05/09
TJKV06M.15	29.9	8.3	2018/05/09
TJKV06M.18	27.8	6.1	2018/05/09
TJKV06M.02	25	7.1	2018/05/09
TJKV06M.28	22.9	7.4	2018/05/09
TJKV06M.29	22.3	7.7	2018/05/09
TJKV06M.03	21.9	6.6	2018/05/09
TJKV06M.34	20.6	5.7	2018/05/09
TJKV06M.42	21.1	5.8	2018/05/09
TJKV06M.43	23.6	5.4	2018/05/09
TJKV06M.41	24	6.4	2018/05/09
TJKV06M.45	26.7	5.9	2018/05/09
TJKV06M.10	29.5	7.4	2018/05/09
TJKV06M.08	28.3	7.7	2018/05/09
TJKV06M.12	28.9	7.9	2018/05/09
TJKV06M.14	33.5	8.7	2018/05/09
TJKV06M.16	28.9	6.4	2018/05/09
TJKV06M.17	27.5	6.8	2018/05/09
TJKV06M.21	26.7	5.7	2018/05/09
TJKV06M.26	22.5	5.4	2018/05/09
TJKV06M.32	20.9	3.7	2018/05/09
TJKV06M.35	20	5.6	2018/05/09
TJKV06M.36	25.1	5.7	2018/05/09
TJKV06M.37	24.6	5.8	2018/05/09
TJKV06M.38	24.6	4.9	2018/05/09
TJKV06M.47	24.5	4.7	2018/05/09
TJKV06M.48	24.1	4.8	2018/05/09
TJKV06M.30	31.8	9.2	2018/05/23
TJKV06M.04	29.6	7.4	2018/05/23
TJKV06M.05	33.2	9.3	2018/05/23
TJKV06M.01	26.7	8.9	2018/05/23
TJKV06M.19	28	7.7	2018/05/23
TJKV06M.22	31.9	8.7	2018/05/23
TJKV06M.23	31	9.2	2018/05/23
TJKV06M.24	26.4	7.5	2018/05/23
TJKV06M.25	23.1	7.4	2018/05/23
TJKV06M.27	20.9	7.3	2018/05/23
TJKV06M.31	20.4	7.1	2018/05/23
TJKV06M.33	29.3	8.7	2018/05/23
TJKV06M.40	23.4	6.7	2018/05/23
TJKV06M.44	27.3	7.5	2018/05/23
TJKV06M.46	27	7.8	2018/05/23
TJKV06M.20	26.2	8.4	2018/05/23
TJKV06M.06	26	7.4	2018/05/23
TJKV06M.07	31.7	7.4	2018/05/23
TJKV06M.11	27	8.1	2018/05/23
TJKV06M.13	28.7	8.7	2018/05/23
TJKV06M.15	31.4	8.9	2018/05/23
TJKV06M.18	27.5	6.8	2018/05/23
TJKV06M.02	23.8	7.4	2018/05/23
TJKV06M.28	23.8	8.2	2018/05/23
TJKV06M.29	23.2	7.2	2018/05/23
TJKV06M.03	22.7	7.3	2018/05/23
TJKV06M.34	24.4	6.8	2018/05/23
TJKV06M.42	22.7	8.2	2018/05/23
TJKV06M.43	24.6	7.7	2018/05/23
TJKV06M.41	24.8	7.2	2018/05/23
TJKV06M.45	26.8	6.2	2018/05/23
TJKV06M.10	30.7	9.3	2018/05/23
TJKV06M.08	27.5	6.8	2018/05/23
TJKV06M.12	30.3	7.3	2018/05/23
TJKV06M.14	34.6	10.2	2018/05/23
TJKV06M.16	27.8	5.2	2018/05/23
TJKV06M.17	26.5	7.3	2018/05/23
TJKV06M.21	26.8	7	2018/05/23
TJKV06M.26	24.1	6.2	2018/05/23
TJKV06M.32	22.1	4.1	2018/05/23
TJKV06M.35	21.9	5.7	2018/05/23
TJKV06M.36	25.4	5.6	2018/05/23
TJKV06M.37	23.2	4.2	2018/05/23
TJKV06M.38	25.5	6.4	2018/05/23
TJKV06M.47	25.2	4.6	2018/05/23
TJKV06M.48	24.4	5.3	2018/05/23
TJKV06M.30	32.6	8.8	2018/05/30
TJKV06M.04	30.5	8.3	2018/05/30
TJKV06M.05	33.2	8.9	2018/05/30
TJKV06M.01	27.5	7.7	2018/05/30
